id,title,difficulty,url
98,Validate Binary Search Tree,Medium,https://leetcode.com/problems/validate-binary-search-tree
99,Recover Binary Search Tree,Hard,https://leetcode.com/problems/recover-binary-search-tree
100,Same Tree,Easy,https://leetcode.com/problems/same-tree
101,Symmetric Tree,Easy,https://leetcode.com/problems/symmetric-tree
102,Binary Tree Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal
103,Binary Tree Zigzag Level Order Traversal,Medium,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
104,Maximum Depth of Binary Tree,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree
105,Construct Binary Tree from Preorder and Inorder Traversal,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
106,Construct Binary Tree from Inorder and Postorder Traversal,Medium,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal
107,Binary Tree Level Order Traversal II,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal-ii
108,Convert Sorted Array to Binary Search Tree,Easy,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
109,Convert Sorted List to Binary Search Tree,Medium,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
110,Balanced Binary Tree,Easy,https://leetcode.com/problems/balanced-binary-tree
111,Minimum Depth of Binary Tree,Easy,https://leetcode.com/problems/minimum-depth-of-binary-tree
112,Path Sum,Easy,https://leetcode.com/problems/path-sum
113,Path Sum II,Medium,https://leetcode.com/problems/path-sum-ii
114,Flatten Binary Tree to Linked List,Medium,https://leetcode.com/problems/flatten-binary-tree-to-linked-list
115,Distinct Subsequences,Hard,https://leetcode.com/problems/distinct-subsequences
116,Populating Next Right Pointers in Each Node,Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node
117,Populating Next Right Pointers in Each Node II,Medium,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
118,Pascal's Triangle,Easy,https://leetcode.com/problems/pascals-triangle
119,Pascal's Triangle II,Easy,https://leetcode.com/problems/pascals-triangle-ii
120,Triangle,Medium,https://leetcode.com/problems/triangle
121,Best Time to Buy and Sell Stock,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock
122,Best Time to Buy and Sell Stock II,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
123,Best Time to Buy and Sell Stock III,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
124,Binary Tree Maximum Path Sum,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum
125,Valid Palindrome,Easy,https://leetcode.com/problems/valid-palindrome
126,Word Ladder II,Hard,https://leetcode.com/problems/word-ladder-ii
127,Word Ladder,Hard,https://leetcode.com/problems/word-ladder
128,Longest Consecutive Sequence,Hard,https://leetcode.com/problems/longest-consecutive-sequence
129,Sum Root to Leaf Numbers,Medium,https://leetcode.com/problems/sum-root-to-leaf-numbers
130,Surrounded Regions,Medium,https://leetcode.com/problems/surrounded-regions
131,Palindrome Partitioning,Medium,https://leetcode.com/problems/palindrome-partitioning
132,Palindrome Partitioning II,Hard,https://leetcode.com/problems/palindrome-partitioning-ii
133,Clone Graph,Medium,https://leetcode.com/problems/clone-graph
134,Gas Station,Medium,https://leetcode.com/problems/gas-station
135,Candy,Hard,https://leetcode.com/problems/candy
136,Single Number,Easy,https://leetcode.com/problems/single-number
137,Single Number II,Medium,https://leetcode.com/problems/single-number-ii
138,Copy List with Random Pointer,Medium,https://leetcode.com/problems/copy-list-with-random-pointer
139,Word Break,Medium,https://leetcode.com/problems/word-break
140,Word Break II,Hard,https://leetcode.com/problems/word-break-ii
141,Linked List Cycle,Easy,https://leetcode.com/problems/linked-list-cycle
142,Linked List Cycle II,Medium,https://leetcode.com/problems/linked-list-cycle-ii
143,Reorder List,Medium,https://leetcode.com/problems/reorder-list
144,Binary Tree Preorder Traversal,Medium,https://leetcode.com/problems/binary-tree-preorder-traversal
145,Binary Tree Postorder Traversal,Medium,https://leetcode.com/problems/binary-tree-postorder-traversal
146,LRU Cache,Medium,https://leetcode.com/problems/lru-cache
147,Insertion Sort List,Medium,https://leetcode.com/problems/insertion-sort-list
148,Sort List,Medium,https://leetcode.com/problems/sort-list
149,Max Points on a Line,Hard,https://leetcode.com/problems/max-points-on-a-line
150,Evaluate Reverse Polish Notation,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation
151,Reverse Words in a String,Medium,https://leetcode.com/problems/reverse-words-in-a-string
152,Maximum Product Subarray,Medium,https://leetcode.com/problems/maximum-product-subarray
153,Find Minimum in Rotated Sorted Array,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
154,Find Minimum in Rotated Sorted Array II,Hard,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii
155,Min Stack,Easy,https://leetcode.com/problems/min-stack
160,Intersection of Two Linked Lists,Easy,https://leetcode.com/problems/intersection-of-two-linked-lists
162,Find Peak Element,Medium,https://leetcode.com/problems/find-peak-element
164,Maximum Gap,Hard,https://leetcode.com/problems/maximum-gap
165,Compare Version Numbers,Medium,https://leetcode.com/problems/compare-version-numbers
166,Fraction to Recurring Decimal,Medium,https://leetcode.com/problems/fraction-to-recurring-decimal
167,Two Sum II - Input array is sorted,Easy,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
168,Excel Sheet Column Title,Easy,https://leetcode.com/problems/excel-sheet-column-title
169,Majority Element,Easy,https://leetcode.com/problems/majority-element
171,Excel Sheet Column Number,Easy,https://leetcode.com/problems/excel-sheet-column-number
172,Factorial Trailing Zeroes,Easy,https://leetcode.com/problems/factorial-trailing-zeroes
173,Binary Search Tree Iterator,Medium,https://leetcode.com/problems/binary-search-tree-iterator
174,Dungeon Game,Hard,https://leetcode.com/problems/dungeon-game
175,Combine Two Tables,Easy,https://leetcode.com/problems/combine-two-tables
176,Second Highest Salary,Easy,https://leetcode.com/problems/second-highest-salary
177,Nth Highest Salary,Medium,https://leetcode.com/problems/nth-highest-salary
178,Rank Scores,Medium,https://leetcode.com/problems/rank-scores
179,Largest Number,Medium,https://leetcode.com/problems/largest-number
180,Consecutive Numbers,Medium,https://leetcode.com/problems/consecutive-numbers
181,Employees Earning More Than Their Managers,Easy,https://leetcode.com/problems/employees-earning-more-than-their-managers
182,Duplicate Emails,Easy,https://leetcode.com/problems/duplicate-emails
183,Customers Who Never Order,Easy,https://leetcode.com/problems/customers-who-never-order
184,Department Highest Salary,Medium,https://leetcode.com/problems/department-highest-salary
185,Department Top Three Salaries,Hard,https://leetcode.com/problems/department-top-three-salaries
187,Repeated DNA Sequences,Medium,https://leetcode.com/problems/repeated-dna-sequences
188,Best Time to Buy and Sell Stock IV,Hard,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv
189,Rotate Array,Medium,https://leetcode.com/problems/rotate-array
190,Reverse Bits,Easy,https://leetcode.com/problems/reverse-bits
191,Number of 1 Bits,Easy,https://leetcode.com/problems/number-of-1-bits
192,Word Frequency,Medium,https://leetcode.com/problems/word-frequency
193,Valid Phone Numbers,Easy,https://leetcode.com/problems/valid-phone-numbers
194,Transpose File,Medium,https://leetcode.com/problems/transpose-file
195,Tenth Line,Easy,https://leetcode.com/problems/tenth-line
196,Delete Duplicate Emails,Easy,https://leetcode.com/problems/delete-duplicate-emails
197,Rising Temperature,Easy,https://leetcode.com/problems/rising-temperature
198,House Robber,Medium,https://leetcode.com/problems/house-robber
199,Binary Tree Right Side View,Medium,https://leetcode.com/problems/binary-tree-right-side-view
200,Number of Islands,Medium,https://leetcode.com/problems/number-of-islands
201,Bitwise AND of Numbers Range,Medium,https://leetcode.com/problems/bitwise-and-of-numbers-range
202,Happy Number,Easy,https://leetcode.com/problems/happy-number
203,Remove Linked List Elements,Easy,https://leetcode.com/problems/remove-linked-list-elements
204,Count Primes,Easy,https://leetcode.com/problems/count-primes
205,Isomorphic Strings,Easy,https://leetcode.com/problems/isomorphic-strings
206,Reverse Linked List,Easy,https://leetcode.com/problems/reverse-linked-list
207,Course Schedule,Medium,https://leetcode.com/problems/course-schedule
208,Implement Trie (Prefix Tree),Medium,https://leetcode.com/problems/implement-trie-prefix-tree
209,Minimum Size Subarray Sum,Medium,https://leetcode.com/problems/minimum-size-subarray-sum
210,Course Schedule II,Medium,https://leetcode.com/problems/course-schedule-ii
211,Design Add and Search Words Data Structure,Medium,https://leetcode.com/problems/design-add-and-search-words-data-structure
212,Word Search II,Hard,https://leetcode.com/problems/word-search-ii
213,House Robber II,Medium,https://leetcode.com/problems/house-robber-ii
214,Shortest Palindrome,Hard,https://leetcode.com/problems/shortest-palindrome
215,Kth Largest Element in an Array,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array
216,Combination Sum III,Medium,https://leetcode.com/problems/combination-sum-iii
217,Contains Duplicate,Easy,https://leetcode.com/problems/contains-duplicate
218,The Skyline Problem,Hard,https://leetcode.com/problems/the-skyline-problem
219,Contains Duplicate II,Easy,https://leetcode.com/problems/contains-duplicate-ii
220,Contains Duplicate III,Medium,https://leetcode.com/problems/contains-duplicate-iii
221,Maximal Square,Medium,https://leetcode.com/problems/maximal-square
222,Count Complete Tree Nodes,Medium,https://leetcode.com/problems/count-complete-tree-nodes
223,Rectangle Area,Medium,https://leetcode.com/problems/rectangle-area
224,Basic Calculator,Hard,https://leetcode.com/problems/basic-calculator
225,Implement Stack using Queues,Easy,https://leetcode.com/problems/implement-stack-using-queues
226,Invert Binary Tree,Easy,https://leetcode.com/problems/invert-binary-tree
227,Basic Calculator II,Medium,https://leetcode.com/problems/basic-calculator-ii
228,Summary Ranges,Easy,https://leetcode.com/problems/summary-ranges
229,Majority Element II,Medium,https://leetcode.com/problems/majority-element-ii
230,Kth Smallest Element in a BST,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst
231,Power of Two,Easy,https://leetcode.com/problems/power-of-two
232,Implement Queue using Stacks,Easy,https://leetcode.com/problems/implement-queue-using-stacks
233,Number of Digit One,Hard,https://leetcode.com/problems/number-of-digit-one
234,Palindrome Linked List,Easy,https://leetcode.com/problems/palindrome-linked-list
235,Lowest Common Ancestor of a Binary Search Tree,Easy,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
236,Lowest Common Ancestor of a Binary Tree,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
237,Delete Node in a Linked List,Easy,https://leetcode.com/problems/delete-node-in-a-linked-list
238,Product of Array Except Self,Medium,https://leetcode.com/problems/product-of-array-except-self
239,Sliding Window Maximum,Hard,https://leetcode.com/problems/sliding-window-maximum
240,Search a 2D Matrix II,Medium,https://leetcode.com/problems/search-a-2d-matrix-ii
241,Different Ways to Add Parentheses,Medium,https://leetcode.com/problems/different-ways-to-add-parentheses
242,Valid Anagram,Easy,https://leetcode.com/problems/valid-anagram
257,Binary Tree Paths,Easy,https://leetcode.com/problems/binary-tree-paths
258,Add Digits,Easy,https://leetcode.com/problems/add-digits
260,Single Number III,Medium,https://leetcode.com/problems/single-number-iii
262,Trips and Users,Hard,https://leetcode.com/problems/trips-and-users
263,Ugly Number,Easy,https://leetcode.com/problems/ugly-number
264,Ugly Number II,Medium,https://leetcode.com/problems/ugly-number-ii
268,Missing Number,Easy,https://leetcode.com/problems/missing-number
273,Integer to English Words,Hard,https://leetcode.com/problems/integer-to-english-words
274,H-Index,Medium,https://leetcode.com/problems/h-index
275,H-Index II,Medium,https://leetcode.com/problems/h-index-ii
278,First Bad Version,Easy,https://leetcode.com/problems/first-bad-version
279,Perfect Squares,Medium,https://leetcode.com/problems/perfect-squares
282,Expression Add Operators,Hard,https://leetcode.com/problems/expression-add-operators
283,Move Zeroes,Easy,https://leetcode.com/problems/move-zeroes
284,Peeking Iterator,Medium,https://leetcode.com/problems/peeking-iterator
287,Find the Duplicate Number,Medium,https://leetcode.com/problems/find-the-duplicate-number
289,Game of Life,Medium,https://leetcode.com/problems/game-of-life
290,Word Pattern,Easy,https://leetcode.com/problems/word-pattern
292,Nim Game,Easy,https://leetcode.com/problems/nim-game
295,Find Median from Data Stream,Hard,https://leetcode.com/problems/find-median-from-data-stream
297,Serialize and Deserialize Binary Tree,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree
299,Bulls and Cows,Medium,https://leetcode.com/problems/bulls-and-cows
300,Longest Increasing Subsequence,Medium,https://leetcode.com/problems/longest-increasing-subsequence
301,Remove Invalid Parentheses,Hard,https://leetcode.com/problems/remove-invalid-parentheses
303,Range Sum Query - Immutable,Easy,https://leetcode.com/problems/range-sum-query-immutable
304,Range Sum Query 2D - Immutable,Medium,https://leetcode.com/problems/range-sum-query-2d-immutable
306,Additive Number,Medium,https://leetcode.com/problems/additive-number
307,Range Sum Query - Mutable,Medium,https://leetcode.com/problems/range-sum-query-mutable
309,Best Time to Buy and Sell Stock with Cooldown,Medium,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown
310,Minimum Height Trees,Medium,https://leetcode.com/problems/minimum-height-trees
312,Burst Balloons,Hard,https://leetcode.com/problems/burst-balloons
313,Super Ugly Number,Medium,https://leetcode.com/problems/super-ugly-number
315,Count of Smaller Numbers After Self,Hard,https://leetcode.com/problems/count-of-smaller-numbers-after-self
316,Remove Duplicate Letters,Medium,https://leetcode.com/problems/remove-duplicate-letters
318,Maximum Product of Word Lengths,Medium,https://leetcode.com/problems/maximum-product-of-word-lengths
319,Bulb Switcher,Medium,https://leetcode.com/problems/bulb-switcher
321,Create Maximum Number,Hard,https://leetcode.com/problems/create-maximum-number
322,Coin Change,Medium,https://leetcode.com/problems/coin-change
324,Wiggle Sort II,Medium,https://leetcode.com/problems/wiggle-sort-ii
326,Power of Three,Easy,https://leetcode.com/problems/power-of-three
327,Count of Range Sum,Hard,https://leetcode.com/problems/count-of-range-sum
328,Odd Even Linked List,Medium,https://leetcode.com/problems/odd-even-linked-list
329,Longest Increasing Path in a Matrix,Hard,https://leetcode.com/problems/longest-increasing-path-in-a-matrix
330,Patching Array,Hard,https://leetcode.com/problems/patching-array
331,Verify Preorder Serialization of a Binary Tree,Medium,https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree
332,Reconstruct Itinerary,Medium,https://leetcode.com/problems/reconstruct-itinerary
334,Increasing Triplet Subsequence,Medium,https://leetcode.com/problems/increasing-triplet-subsequence
335,Self Crossing,Hard,https://leetcode.com/problems/self-crossing
336,Palindrome Pairs,Hard,https://leetcode.com/problems/palindrome-pairs
337,House Robber III,Medium,https://leetcode.com/problems/house-robber-iii
338,Counting Bits,Medium,https://leetcode.com/problems/counting-bits
341,Flatten Nested List Iterator,Medium,https://leetcode.com/problems/flatten-nested-list-iterator
342,Power of Four,Easy,https://leetcode.com/problems/power-of-four
343,Integer Break,Medium,https://leetcode.com/problems/integer-break
344,Reverse String,Easy,https://leetcode.com/problems/reverse-string
345,Reverse Vowels of a String,Easy,https://leetcode.com/problems/reverse-vowels-of-a-string
347,Top K Frequent Elements,Medium,https://leetcode.com/problems/top-k-frequent-elements
349,Intersection of Two Arrays,Easy,https://leetcode.com/problems/intersection-of-two-arrays
350,Intersection of Two Arrays II,Easy,https://leetcode.com/problems/intersection-of-two-arrays-ii
352,Data Stream as Disjoint Intervals,Hard,https://leetcode.com/problems/data-stream-as-disjoint-intervals
354,Russian Doll Envelopes,Hard,https://leetcode.com/problems/russian-doll-envelopes
355,Design Twitter,Medium,https://leetcode.com/problems/design-twitter
357,Count Numbers with Unique Digits,Medium,https://leetcode.com/problems/count-numbers-with-unique-digits
363,Max Sum of Rectangle No Larger Than K,Hard,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k
365,Water and Jug Problem,Medium,https://leetcode.com/problems/water-and-jug-problem
367,Valid Perfect Square,Easy,https://leetcode.com/problems/valid-perfect-square
368,Largest Divisible Subset,Medium,https://leetcode.com/problems/largest-divisible-subset
371,Sum of Two Integers,Medium,https://leetcode.com/problems/sum-of-two-integers
372,Super Pow,Medium,https://leetcode.com/problems/super-pow
373,Find K Pairs with Smallest Sums,Medium,https://leetcode.com/problems/find-k-pairs-with-smallest-sums
374,Guess Number Higher or Lower,Easy,https://leetcode.com/problems/guess-number-higher-or-lower
375,Guess Number Higher or Lower II,Medium,https://leetcode.com/problems/guess-number-higher-or-lower-ii
376,Wiggle Subsequence,Medium,https://leetcode.com/problems/wiggle-subsequence
377,Combination Sum IV,Medium,https://leetcode.com/problems/combination-sum-iv
378,Kth Smallest Element in a Sorted Matrix,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
380,Insert Delete GetRandom O(1),Medium,https://leetcode.com/problems/insert-delete-getrandom-o1
381,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
382,Linked List Random Node,Medium,https://leetcode.com/problems/linked-list-random-node
383,Ransom Note,Easy,https://leetcode.com/problems/ransom-note
384,Shuffle an Array,Medium,https://leetcode.com/problems/shuffle-an-array
385,Mini Parser,Medium,https://leetcode.com/problems/mini-parser
386,Lexicographical Numbers,Medium,https://leetcode.com/problems/lexicographical-numbers
387,First Unique Character in a String,Easy,https://leetcode.com/problems/first-unique-character-in-a-string
388,Longest Absolute File Path,Medium,https://leetcode.com/problems/longest-absolute-file-path
389,Find the Difference,Easy,https://leetcode.com/problems/find-the-difference
390,Elimination Game,Medium,https://leetcode.com/problems/elimination-game
391,Perfect Rectangle,Hard,https://leetcode.com/problems/perfect-rectangle
392,Is Subsequence,Easy,https://leetcode.com/problems/is-subsequence
393,UTF-8 Validation,Medium,https://leetcode.com/problems/utf-8-validation
394,Decode String,Medium,https://leetcode.com/problems/decode-string
395,Longest Substring with At Least K Repeating Characters,Medium,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
396,Rotate Function,Medium,https://leetcode.com/problems/rotate-function
397,Integer Replacement,Medium,https://leetcode.com/problems/integer-replacement
398,Random Pick Index,Medium,https://leetcode.com/problems/random-pick-index
399,Evaluate Division,Medium,https://leetcode.com/problems/evaluate-division
400,Nth Digit,Medium,https://leetcode.com/problems/nth-digit
401,Binary Watch,Easy,https://leetcode.com/problems/binary-watch
402,Remove K Digits,Medium,https://leetcode.com/problems/remove-k-digits
403,Frog Jump,Hard,https://leetcode.com/problems/frog-jump
404,Sum of Left Leaves,Easy,https://leetcode.com/problems/sum-of-left-leaves
405,Convert a Number to Hexadecimal,Easy,https://leetcode.com/problems/convert-a-number-to-hexadecimal
406,Queue Reconstruction by Height,Medium,https://leetcode.com/problems/queue-reconstruction-by-height
407,Trapping Rain Water II,Hard,https://leetcode.com/problems/trapping-rain-water-ii
409,Longest Palindrome,Easy,https://leetcode.com/problems/longest-palindrome
410,Split Array Largest Sum,Hard,https://leetcode.com/problems/split-array-largest-sum
412,Fizz Buzz,Easy,https://leetcode.com/problems/fizz-buzz
413,Arithmetic Slices,Medium,https://leetcode.com/problems/arithmetic-slices
414,Third Maximum Number,Easy,https://leetcode.com/problems/third-maximum-number
415,Add Strings,Easy,https://leetcode.com/problems/add-strings
416,Partition Equal Subset Sum,Medium,https://leetcode.com/problems/partition-equal-subset-sum
417,Pacific Atlantic Water Flow,Medium,https://leetcode.com/problems/pacific-atlantic-water-flow
419,Battleships in a Board,Medium,https://leetcode.com/problems/battleships-in-a-board
420,Strong Password Checker,Hard,https://leetcode.com/problems/strong-password-checker
421,Maximum XOR of Two Numbers in an Array,Medium,https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array
423,Reconstruct Original Digits from English,Medium,https://leetcode.com/problems/reconstruct-original-digits-from-english
424,Longest Repeating Character Replacement,Medium,https://leetcode.com/problems/longest-repeating-character-replacement
427,Construct Quad Tree,Medium,https://leetcode.com/problems/construct-quad-tree
429,N-ary Tree Level Order Traversal,Medium,https://leetcode.com/problems/n-ary-tree-level-order-traversal
430,Flatten a Multilevel Doubly Linked List,Medium,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list
432,All O`one Data Structure,Hard,https://leetcode.com/problems/all-oone-data-structure
433,Minimum Genetic Mutation,Medium,https://leetcode.com/problems/minimum-genetic-mutation
434,Number of Segments in a String,Easy,https://leetcode.com/problems/number-of-segments-in-a-string
435,Non-overlapping Intervals,Medium,https://leetcode.com/problems/non-overlapping-intervals
436,Find Right Interval,Medium,https://leetcode.com/problems/find-right-interval
437,Path Sum III,Medium,https://leetcode.com/problems/path-sum-iii
438,Find All Anagrams in a String,Medium,https://leetcode.com/problems/find-all-anagrams-in-a-string
440,K-th Smallest in Lexicographical Order,Hard,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order
441,Arranging Coins,Easy,https://leetcode.com/problems/arranging-coins
442,Find All Duplicates in an Array,Medium,https://leetcode.com/problems/find-all-duplicates-in-an-array
443,String Compression,Medium,https://leetcode.com/problems/string-compression
